Abbr,Department,Agency/body,Agency abbr,Name of service,Slug,2012-Q4 Vol.,2012-Q4 CPT (£),2012-Q4 Digital vol.,2012-Q4 Digital CPT (£),2012-Q4 Completion rate,2012-Q4 User satisfaction,2013-Q1 Vol.,2013-Q1 CPT (£),2013-Q1 Digital vol.,2013-Q1 Digital CPT (£),2013-Q1 Completion rate,2013-Q1 User satisfaction,2013-Q2 Vol.,2013-Q2 CPT (£),2013-Q2 Digital vol.,2013-Q2 Digital CPT (£),2013-Q2 Completion rate,2013-Q2 User satisfaction,2013-Q3 Vol.,2013-Q3 CPT (£),2013-Q3 Digital vol.,2013-Q3 Digital CPT (£),2013-Q3 Completion rate,2013-Q3 User satisfaction,2013-Q4 Vol.,2013-Q4 CPT (£),2013-Q4 Digital vol.,2013-Q4 Digital CPT (£),2013-Q4 Completion rate,2013-Q4 User satisfaction,2014-Q1 Vol.,2014-Q1 CPT (£),2014-Q1 Digital vol.,2014-Q1 Digital CPT (£),2014-Q1 Completion rate,2014-Q1 User satisfaction,2014-Q2 Vol.,2014-Q2 CPT (£),2014-Q2 Digital vol.,2014-Q2 Digital CPT (£),2014-Q2 Completion rate,2014-Q2 User satisfaction,2014-Q3 Vol.,2014-Q3 CPT (£),2014-Q3 Digital vol.,2014-Q3 Digital CPT (£),2014-Q3 Completion rate,2014-Q3 User satisfaction,2014-Q4 Vol.,2014-Q4 CPT (£),2014-Q4 Digital vol.,2014-Q4 Digital CPT (£),2014-Q4 Completion rate,2014-Q4 User satisfaction,2015-Q1 Vol.,2015-Q1 CPT (£),2015-Q1 Digital vol.,2015-Q1 Digital CPT (£),2015-Q2 Vol.,2015-Q2 CPT (£),2015-Q2 Digital vol.,2015-Q2 Digital CPT (£),2015-Q3 Vol.,2015-Q3 CPT (£),2015-Q3 Digital vol.,2015-Q3 Digital CPT (£),2015-Q4 Vol.,2015-Q4 CPT (£),2015-Q4 Digital vol.,2015-Q4 Digital CPT (£),2016-Q1 Vol.,2016-Q1 CPT (£),2016-Q1 Digital vol.,2016-Q1 Digital CPT (£),2016-Q2 Vol.,2016-Q2 CPT (£),2016-Q2 Digital vol.,2016-Q2 Digital CPT (£),2016-Q3 Vol.,2016-Q3 CPT (£),2016-Q3 Digital vol.,2016-Q3 Digital CPT (£),2016-Q4 Vol.,2016-Q4 CPT (£),2016-Q4 Digital vol.,2016-Q4 Digital CPT (£),2017-Q1 Vol.,2017-Q1 CPT (£),2017-Q1 Digital vol.,2017-Q1 Digital CPT (£),2017-Q2 Vol.,2017-Q2 CPT (£),2017-Q2 Digital vol.,2017-Q2 Digital CPT (£),Category,URL,Service link text,Description of service,Notes on costs,Other notes,Customer type,Business model,"Previous dept 
 (MOG, Jun 2016)","Dept providing data 
(MOG , Jun 2016)",previous agency,Keywords,Notes [for GDS only],Hi-vol,Latest volumes,Latest digital take-up,Latest digital totals,,,,,FOI URL,Also check PP dashboard for more detailed channel breakdwon,Type of transaction,Type notes,"Total transactions
Jul - Sep 2012","Total transactions
Oct - Dec 2012","Total transactions
Jan - Mar 2013","Total transactions
Apr - Jun 2013","Total transactions
Jul - Sep 2013","Total transactions
Oct - Dec 2013","Total transactions
Jan - Mar 2014","Total transactions
Apr - Jun 2014","Total transactions
Jul - Sep 2014","Total transactions
Oct - Dec 2014","Total transactions
Jan - Mar 2015","Total transactions
Apr - Jun 2015","Total transactions
Jul - Sep 2015","Total transactions
Oct - Dec 2015","Total transactions
Jan - Mar 2016","Total transactions
Apr - Jun 2016","Total transactions
Jul - Sep 2016","Total transactions
Oct - Dec 2016","Total transactions
Jan - Mar 2017",Totals check Apr-Mar [pasted values],"Total 
Apr16 - Mar17 [12 MONTHS]",Totals check Apr-Mar,"Digital transactions
Jul - Sep 2012","Digital transactions
Oct - Dec 2012","Digital transactions
Jan - Mar 2013","Digital transactions
Apr - Jun 2013","Digital transactions
Jul - Sep 2013","Digital transactions
Oct - Dec 2013","Digital transactions
Jan - Mar 2014","Digital transactions
Apr - Jun 2014","Digital transactions
Jul - Sep 2014","Digital transactions
Oct - Dec 2014","Digital transactions
Jan - Mar 2015","Digital transactions
Apr - Jun 2015","Digital transactions
Jul - Sep 2015","Digital transactions
Oct - Dec 2015","Digital transactions
Jan - Mar 2016","Digital transactions
Apr - Jun 2016","Digital transactions
Jul - Sep 2016","Digital transactions
Oct - Dec 2016","Digital transactions
Jan - Mar 2017",Totals check Apr-Mar [pasted values],"Total 
Apr16 - Mar17 [12 MONTHS]",Totals check Apr-Mar,Digital exceeds all (quarters),Digital exceeds all (years)
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Requests to be informed of future events relating to a patent application or patent (caveat),bis-request-to-be-informed-of-future-events-relating-to-a-patent-application-or-patent-caveat-f49,143,,,,,,143,,,,,,129,,,,,,118,,,,,,77,,0,,,,71,,0,,,,75,,0,,,,81,,0,,,,103,,0,,,,85,,0,,84,,0,,95,,0,,110,,0,,123,,0,,133,,0,,124,,0,,116,,0,,131,,0,,124,,0,,Requesting information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,,Data for requests to be informed of future events relating to a patent application or patent (caveat) (F49).,,,Business,Fees and charges,BIS,BIS,,,Patent,,133,,0,,,,,,,,,44,24,28,22,3,18,32,28,25,0,31,39,40,13,41,30,32,28,34,124,124,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Patents: requests to correct a name or address,bis-request-to-correct-a-name-or-address-f20,"1,309",,,,,,"1,309",,,,,,,,,,,,898,,,,,,956,,0,,,,982,,0,,,,"1,014",,0,,,,"1,011",,0,,,,941,,0,,,,949,,0,,990,,0,,999,,0,,997,,0,,"1,039",,0,,"1,639",,0,,"1,636",,0,,"1,730",,0,,"1,759",,0,,"1,193",,0,,Amending/deleting information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,,Data for requests to correct a name or address in a patent (F20).,,,Business,Fees and charges,BIS,BIS,,,Patent,,"1,639",,0,,,,,,,,,220,217,208,253,278,243,240,250,208,251,281,259,206,293,881,256,300,322,315,"1,193","1,193",y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Trade marks: requests to divide an application,bis-request-to-divide-an-application-tm12,40,,,,,,40,,,,,,40,,,,,,46,,,,,,38,,0,,,,35,,0,,,,34,,0,,,,30,,0,,,,30,,0,,,,27,,0,,30,,0,,28,,0,,23,,0,,22,,0,,18,,0,,15,,0,,18,,0,,18,,0,,23,,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to divide an application (TM12).,,,Business,Fees and charges,BIS,BIS,,,,,18,,0,,,,,,,,,16,12,6,12,8,9,5,8,8,6,8,6,3,5,4,3,6,5,9,23,23,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Patents: requests to extend a prescribed time limit,bis-request-to-extend-a-prescribed-time-limit-f52,659,,,,,,659,,,,,,651,,,,,,635,,,,,,627,,0,,,,585,,0,,,,453,,0,,,,453,,0,,,,475,,0,,,,482,,0,,507,,0,,525,,0,,529,,0,,473,,0,,459,,0,,457,,0,,479,,0,,537,,0,,968,,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,,Data for requests to extend a prescribed time limit (F52).,,,Business,Fees and charges,BIS,BIS,,,Patent,,459,,0,,,,,,,,,114,165,240,116,106,123,108,116,128,130,133,134,132,74,119,132,154,132,550,968,968,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Trade marks: requests to merge applications or registrations,bis-request-to-merge-applications-or-registrations-tm17,489,,,,,,489,,,,,,459,,,,,,388,,,,,,247,,0,,,,89,,0,,,,91,,0,,,,96,,0,,,,97,,0,,,,133,,0,,166,,0,,195,,0,,216,,0,,216,,0,,201,,0,,184,,0,,175,,0,,155,,0,,174,,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to merge applications or registrations (TM17).,,,Business,Fees and charges,BIS,BIS,,,,,201,,0,,,,,,,,,165,177,23,23,24,19,25,28,25,55,58,57,46,55,43,40,37,35,62,174,174,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Trade marks: requests to proceed to evidence rounds,bis-request-to-proceed-to-evidence-rounds-tm53,5,,,,,,5,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to proceed to evidence rounds (TM53).,,,Business,Fees and charges,BIS,BIS,,,,,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Requests to reinstate a patent application,bis-request-to-reinstate-a-patent-application-f14,64,,,,,,64,,,,,,46,,,,,,45,,,,,,49,,0,,,,51,,0,,,,54,,0,,,,49,,0,,,,51,,0,,,,45,,0,,39,,0,,48,,0,,37,,0,,54,,0,,55,,0,,54,,0,,53,,0,,29,,0,,24,,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,,Data for requests to reinstate a patent application (F14).,,,Business,Fees and charges,BIS,BIS,,,Patent,,55,,0,,,,,,,,,9,13,9,14,13,15,12,9,15,9,6,18,4,26,7,17,3,2,2,24,24,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Requests to restore or renew a trade mark registration,bis-request-to-restore-or-renew-a-registration-tm13,88,,,,,,88,,,,,,85,,,,,,79,,,,,,63,,0,,,,64,,0,,,,45,,0,,,,43,,0,,,,49,,0,,,,57,,0,,59,,0,,69,,0,,69,,0,,61,,0,,81,,0,,86,,0,,96,,0,,118,,0,,119,,0,,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to restore or renew a registration (TM13).,,,Business,Fees and charges,BIS,BIS,,,,,81,,0,,,,,,,,,23,14,29,13,7,15,10,11,13,23,12,21,13,15,32,26,23,37,33,119,119,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Trade marks: requests to terminate the cooling off period,bis-request-to-terminate-the-cooling-off-period-tm9t,11,,,,,,11,,,,,,2,,,,,,2,,,,,,3,,0,,,,1,,0,,,,4,,0,,,,8,,0,,,,12,,0,,,,22,,0,,23,,0,,20,,0,,21,,0,,12,,0,,11,,0,,11,,0,,9,,0,,12,,0,,12,,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for requests to terminate the cooling off period (TM9T).,,,Business,Fees and charges,BIS,BIS,,,,,11,,0,,,,,,,,,0,2,0,0,1,0,3,4,5,10,4,1,6,1,3,1,4,4,3,12,12,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Requests not to publish patent applications in the Patents Journal,bis-requests-not-to-publish-patent-applications-in-the-patents-journal,"3,113",,,,,,10,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,1,,0,,1,,0,,1,,0,,1,,0,,7,,0,,7,,0,,7,,0,,7,,0,,1,,0,,Requesting a licence or consent,https://www.gov.uk/government/organisations/intellectual-property-office,,Data for requests not to publish patent applications in the Patents Journal.,,,Business,Fees and charges,BIS,BIS,,,Patent,,7,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,1,1,y,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Research Councils,,Research Councils: grant applications ,bis-research-councils-grants-processed-by-uk-shared-business-services-ltd-uk-sbs,,,,,,,"15,724",,,,,,"14,725",,,,,,"14,675",,,,,,"15,264",,,,,,"14,106",,,,,,"15,229",,,,,,"15,200",,,,,,"14,814",,"14,814",,,,"14,725",,"14,725",,"14,809",,"14,809",,"15,128",,"15,128",,"14,920",,"14,920",,"15,564",,"15,564",,"15,063",,"15,063",,"14,821",,"14,821",,"15,303",,"15,303",,"15,345",,"15,345",,"15,406",,"15,406",,"Requesting benefits, payments or loans",https://je-s.rcuk.ac.uk/,,"Data for grant applications made to the UK Research Councils, processed by UK Shared Business Services Ltd (UK SBS).",,Data only includes version 1 grants. Outline grants (included here) are usually excluded from individual Research Council reporting.,Business,Taxpayers,BIS,BIS,,,"New transactional service [29/4]. UK Shared Business Services Ltd (UK SBS) - formerly SSC RCUK Shared Services Centre Ltd (SSC) was formally registered as a company in 2007. It was initially established by the seven UK Research Councils in a drive for greater efficiency and harmonisation of processes. The project to set up the SSC completed in April 2011. During the transitional phase Research Councils grant application functions were transferred from individual Councils to the SSC, who are now the central point for all grant applications the Research Councils receive. Due to this change, the individual Councils no longer own separate functionality for grants processing and therefore should not be reporting as individual companies, but via the SSC as a single RCUK service which spans the whole of the Research Councils. As UK SBS will formally be taking on further grant process activity for other organisations, the description ensures that the distinction is made that these are just the Research Councils’ grants. [Accounts for 6,790 transactions previously listed separately.]",,"15,063",,"14,920",,,,,,,,,"4,235","3,981","2,964","3,495","4,824","2,823","4,087","3,466","4,438","2,734","4,171","3,785","4,230","3,378","3,670","3,543","4,712","3,420","3,731","15,406","15,406",y,,,,,,"2,823","4,087","3,466","4,438","2,734","4,171","3,785","4,230","3,378","3,670","3,543","4,712","3,420","3,731","15,406","15,406",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Research Councils,,Research Councils: Sponsored Scientific Researcher Initiative placements,bis-research-councils-uk-ssri-research-placements,11,,11,,,,17,,,,,,8,,,,,,22,,,,,,31,,,,,,37,,,,,,36,,,,,,37,,,,,,29,,29,,,,34,,34,,44,,44,,45,,45,,53,,53,,55,,55,,51,,51,,68,,68,,69,,69,,56,,56,,55,,55,,"Requesting benefits, payments or loans",http://www.uksbs.co.uk/services/ssri/,,"Data for SSRI research placements, enabling organisations to engage research scientists in formal research projects.",,,Business,Taxpayers,BIS,BIS,,,,,51,,53,,,,,,,,,6,5,6,5,15,11,5,6,7,16,15,7,15,18,11,24,16,5,10,55,55,y,,,,,,11,5,6,7,16,15,7,15,18,11,24,16,5,10,55,55,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Right Start ,bis-right-start-tm3,"5,951",,"5,951",,,,"5,951",,,,,,"9,739",,,,,,"9,957",,"9,957",,,,"10,877",,"10,877",,,,"11,582",,"11,582",,,,"11,963",216.00,"11,963",204.85,,,"12,883",216.00,"12,883",204.85,,,"13,021",216.00,"13,021",204.85,,,"12,693",216.00,"12,693",204.85,"12,659",204.85,"12,659",,"12,455",204.85,"12,455",204.85,"12,329",204.85,"12,329",204.85,"12,221",204.85,"12,221",204.85,"12,293",204.85,"12,293",204.85,"12,043",204.85,"12,043",204.85,"12,189",,"12,189",,"12,743",,"12,743",,"13,409",204.85,"13,409",204.85,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for Right Start.,,,Business,Fees and charges,BIS,BIS,,,,,"12,293",,"12,329",,,,,,,,,"2,191","2,471","2,938","2,357","3,111","3,176","3,319","3,277","3,249","2,848","3,285","3,073","3,123","2,740","3,357","2,823","3,269","3,294","4,023","13,409","13,409",y,"2,191","2,471","2,938","2,357","3,111","3,176","3,319","3,277","3,249","2,848","3,285","3,073","3,123","2,740","3,357","2,823","3,269","3,294","4,023","13,409","13,409",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Land Registry,HMLR,Land Registry: search of part,bis-search-of-part-land-registry,"233,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,953",,"215,752",,,,"267,458",,"228,413",,,,"277,003",,"243,059",,,,"281,427",,"252,369",,"286,659",,"262,774",,"294,155",,"274,704",,"303,815",,"287,895",,"318,983",,"306,198",,"336,572",,"325,838",,"344,741",,"335,629",,"351,979",,"344,148",,"357,517",,"351,005",,"362,386",,"356,618",,Requesting information,https://www.gov.uk/government/collections/business-e-services,Land Registry business services,"Data for protected applications for official searches, which freeze part of the title for a priority period.",,Number of digital transactions taken from the delivery channel for each service. Applications lodged electronically may still require some manual intervention. Figure is based on an average percentage basis across each quarter.,Business,Fees and charges,BIS,BIS,,,,,"336,572",,"287,895",,,,,,,,,,,,"64,477","60,613","71,249","63,614","71,982","70,158","75,673","68,846","79,478","79,818","90,841","86,435","87,647","87,056","96,379","91,304","362,386","362,386",y,,,,"51,581","49,096","60,561","54,514","64,242","63,742","69,871","64,919","76,172","76,933","88,174","84,559","85,963","85,452","95,031","90,172","356,618","356,618",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Land Registry,HMLR,Land Registry: searches for title numbers,bis-search-of-the-index-map-land-registry,"1,636,205",9.28,"1,060,308",9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"574,606",,"487,033",,,,"549,905",,"470,553",,,,"486,762",,"420,611",,,,"417,524",,"364,232",,"349,989",,"307,189",,"312,279",,"277,457",,"292,199",,"262,867",,"281,285",,"255,911",,"272,568",,"250,657",,"270,298",,"250,470",,"264,838",,"246,911",,"262,412",,"246,076",,"261,561",,"246,095",,Requesting information,https://www.gov.uk/government/collections/business-e-services,Land Registry business services,"Data for searches of the index map to find out whether or not land is registered and, if so, to obtain the title number.",,"Digital transactions are defined as those lodged and processed electronically, and those lodged electronically but which require some manual intervention. Figures are based on an average percentage basis across each quarter.",Business,Fees and charges,BIS,BIS,,,Used to be called 'Search of the index map (Land Registry)',,"272,568",,"262,867",,,,,https://www.whatdotheyknow.com/new/land_registry,,,,,,,"134,364","152,903","145,630","141,709","109,663","89,760","76,392","74,174","71,953","69,680","65,478","65,457","69,683","64,220","63,052","64,606","261,561","261,561",y,,,,"111,522","128,439","123,785","123,287","95,042","78,497","67,406","66,244","65,310","63,907","60,450","60,990","65,123","60,348","59,615","61,009","246,095","246,095",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Land Registry,HMLR,Land Registry: searches of whole register,bis-search-of-whole-land-registry,"1,733,839",2.64,"1,648,405",2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,933,916",,"1,914,576",,,,"1,972,199",2.55,"1,942,832",2.47,,,"2,000,973",2.55,"1,973,282",2.47,,,"1,985,016",2.55,"1,960,705",2.47,"1,952,499",2.26,"1,931,684",,"1,939,261",2.26,"1,931,773",2.22,"1,951,027",2.26,"1,945,567",2.22,"1,978,686",2.26,"1,973,873",2.22,"2,086,414",2.26,"2,081,874",2.22,"2,088,881",2.26,"2,084,725",2.22,"2,072,623",2.26,"2,068,821",2.22,"2,070,264",2.26,"2,066,729",2.22,"2,018,070",2.93,"2,014,741",2.87,Requesting information,https://www.gov.uk/search-property-information-land-registry,Land Registry business services,"Data for protected applications for official searches, which 'freeze' the title for a priority period. ","Digital Transactions are defined as those lodged by a customer through a digital channel. Once received some of these transactions are processed automatically whilst others require manual intervention and subsequently incur greater costs. As fewer transactions are lodged through non-digital channels a greater proportion of digital transactions require such manual intervention. Therefore whilst overall efficiency of a service may improve, the calculated average cost per digital transaction may be negatively impacted.<br><br>Land Registry costs are based on total costs per the 2014/15 published accounts (excluding exceptional items). Because our costs do not incur evenly, transaction costs based on published annual accounts represent a more stable reflection of the costs of delivering services and exclude changes purely resulting from the uneven profile of our costs. Apportioned costs include (but are not limited to) labour, accommodation, office equipment, information services, depreciation, provisions, fees paid, and general overheads; all attributed using the most appropriate cost driver. Costs also include that of indemnity, being compensation paid to injured parties such as victims of property fraud. Payments and required movements in the provision for such payments (as determined by an independent actuary) create a significant degree of annual fluctuation in costs which impact on cost per transaction accordingly.","A person who wishes to protect a future update to the register, such as a purchase or a mortgage, may make an official search against the registered title. The effect of the official search is to ""freeze"" the title which prevents another application being registered until the protected application is made. <br/><br/> Applications lodged electronically may still require some manual intervention. ",Business,Fees and charges,BIS,BIS,,,A fee of £4 is charged for each search submitted,1,"2,086,414",,"1,945,567",,,,,https://www.whatdotheyknow.com/new/land_registry,,,,,,,"450,102","492,589","514,476","476,749","488,385","521,363","498,519","444,232","475,147","533,129","526,178","551,960","477,614","516,871","523,819","499,766","2,018,070","2,018,070",y,,,,"445,601","487,663","509,331","471,981","473,857","518,113","496,754","442,960","473,946","531,907","525,060","550,961","476,797","516,003","522,968","498,973","2,014,741","2,014,741",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,"Right Start, second part",bis-second-part-of-right-start-tm3s,"4,687",,"4,687",,,,"4,687",,,,,,"7,221",,,,,,"7,956",,"7,956",,,,"8,903",,"8,903",,,,"9,127",,"9,127",,,,"9,537",,"9,537",,,,"9,592",,"9,592",,,,"9,580",,"9,580",,,,"9,863",,"9,863",,"10,032",,"10,032",,"9,795",,"9,795",,"9,530",,"9,530",,"9,346",,"9,346",,"9,309",,"9,309",,"9,626",,"9,626",,"9,578",,"9,578",,"10,361",,"10,361",,"11,105",,"11,105",,Registering,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,,Data for second part of Right Start (TM3S.),,,Business,Fees and charges,BIS,BIS,,,,,"9,309",,"9,530",,,,,,,,,"1,718","1,967","1,860","2,411","2,665","2,191","2,270","2,466","2,653","2,474","2,439","2,229","2,388","2,290","2,402","2,546","2,340","3,073","3,146","11,105","11,105",y,"1,718","1,967","1,860","2,411","2,665","2,191","2,270","2,466","2,653","2,474","2,439","2,229","2,388","2,290","2,402","2,546","2,340","3,073","3,146","11,105","11,105",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Intellectual Property Office,IPO,Patents: statements of inventorship,bis-statement-of-inventorship-of-right-to-grant-of-a-patent-f7,"8,301",,"5,139",,,,"8,301",,,,,,"3,248",,,,,,"5,301",,,,,,"7,352",,"4,055",,,,"9,677",,"6,352",,,,"11,988",,"8,622",,,,"12,077",,"8,704",,,,"12,086",,"8,641",,,,"11,382",,"8,655",,"11,151",,"8,576",,"10,907",,"8,648",,"10,881",,"8,726",,"11,291",,"8,680",,"11,181",,"8,599",,"11,191",,"6,493",,"11,251",,"6,519",,"11,034",,"6,384",,"9,959",,"5,928",,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,,Data for statements of inventorship and of right to grant of a patent (F7),,,Business,Fees and charges,BIS,BIS,,,Patent,,"11,181",,"8,726",,,,,,,,,837,800,861,"2,803","2,888","3,125","3,182","2,882","2,897","2,421","2,951","2,638","2,871","2,831","2,841","2,648","2,931","2,614","1,766","9,959","9,959",y,,0,0,"1,952","2,103","2,297","2,270","2,034","2,040","2,311","2,191","2,106","2,118","2,265","2,110",0,"2,144","2,130","1,654","5,928","5,928",y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Insolvency Service,INSS,Bankruptcy and liquidation: tax and National Insurance disclosure (TNIDIS) forms issued,bis-tax-national-insurance-disclosure-tnidis-forms-issued,"30,000",,0,,,,"29,190",,0,,,,,,,,,,"31,710",,0,,,,"26,071",,0,,,,"24,571",,0,,,,"23,579",,0,,,,"22,551",,0,,,,"21,442",,0,,,,"20,242",,0,,"18,965",,0,,"17,483",,0,,"16,477",,0,,"15,828",,0,,"15,132",,0,,"14,850",,0,,"14,881",,0,,"14,939",,0,,"15,301",,0,,Requesting a licence or consent,https://www.gov.uk/government/organisations/insolvency-service,,Data for issues of the TNIDIS form that authorises the payment to the official receiver (or trustee) any applicable income tax refunds.,,,Business,Taxpayers,BIS,BIS,,,,,"15,132",,0,,,,,,,1. transactions received,,,,"6,673","6,480","6,009","5,409","5,681","5,452","4,900","4,209","4,404","3,970","3,894","3,560","3,708","3,688","3,925","3,618","4,070","15,301","15,301",y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y,ok,ok
BEIS,"Department for Business, Energy and Industrial Strategy",Land Registry,HMLR,"Land Registry: title register, plan and document views",bis-title-register-views,"3,847,098",1.53,"3,847,098",1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,384,752",,"5,384,752",,,,"5,508,396",1.22,"5,508,396",1.22,,,"5,630,212",1.22,"5,630,212",1.22,,,"5,724,759",1.25,"5,724,759",1.25,"5,834,478",1.14,"5,834,478",,"5,972,650",1.14,"5,972,650",1.14,"6,125,559",1.14,"6,125,559",1.14,"6,240,431",1.14,"6,240,431",1.14,"6,355,601",1.14,"6,355,601",1.14,"6,482,686",1.14,"6,482,686",1.14,"6,465,372",1.14,"6,465,372",1.14,"6,421,682",1.14,"6,421,682",1.14,"6,432,534",1.73,"6,432,534",1.73,Requesting information,https://www.gov.uk/search-property-information-land-registry,Land Registry business services,"Data for applications to view the title register, plan, or documents.","Digital Transactions are defined as those lodged by a customer through a digital channel. Once received some of these transactions are processed automatically whilst others require manual intervention and subsequently incur greater costs. As fewer transactions are lodged through non-digital channels a greater proportion of digital transactions require such manual intervention. Therefore whilst overall efficiency of a service may improve, the calculated average cost per digital transaction may be negatively impacted.<br><br>Land Registry costs are based on total costs per the 2014/15 published accounts (excluding exceptional items). Because our costs do not incur evenly, transaction costs based on published annual accounts represent a more stable reflection of the costs of delivering services and exclude changes purely resulting from the uneven profile of our costs. Apportioned costs include (but are not limited to) labour, accommodation, office equipment, information services, depreciation, provisions, fees paid, and general overheads; all attributed using the most appropriate cost driver. Costs also include that of indemnity, being compensation paid to injured parties such as victims of property fraud. Payments and required movements in the provision for such payments (as determined by an independent actuary) create a significant degree of annual fluctuation in costs which impact on cost per transaction accordingly.","A view of a register, document or plan provides a snapshot of the information that Land Registry holds at the time of the request. Views can only be requested digitally. Requests can be made by businesses and members of the public.",Business,Fees and charges,BIS,BIS,,,A fee of £4 is charged for each register displayed (whether accessed by title number or property description). There is no charge for enquiries that only serve to establish that the title has not yet been computerised. Printing the screen contents does not attract additional fees.,1,"6,355,601",,"6,125,559",,,,,https://www.whatdotheyknow.com/new/land_registry,,,,,,,"1,283,495","1,329,998","1,303,794","1,467,465","1,407,139","1,451,814","1,398,341","1,577,184","1,545,311","1,604,723","1,513,213","1,692,354","1,672,396","1,587,409","1,469,523","1,703,206","6,432,534","6,432,534",y,,,,"1,283,495","1,329,998","1,303,794","1,467,465","1,407,139","1,451,814","1,398,341","1,577,184","1,545,311","1,604,723","1,513,213","1,692,354","1,672,396","1,587,409","1,469,523","1,703,206","6,432,534","6,432,534",y,ok,ok
