Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Energy and Industrial Strategy",BEIS,"Advisory, Conciliation and Arbitration Service",Acas,Acas Early Conciliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110192,99418,,109345,100005,,110159,101593,,107097,99852,,107827,101152,,105620,99303,,112238,105611,,,https://ec.acas.org.uk/,"Data for notifications of intention to make a claim to an Employment Tribunal, enabling Acas to offer early conciliation to settle disputes.",,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Companies House,,Companies House Search/Data Request Service: company reports data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8964,8964,,,,,7774,7774,,,http://wck2.companieshouse.gov.uk//wcframe?name=accessCompanyInfo,Paid for searches/data requests for company reports data made via the Companies House WebCHeck service,,,Business and individuals,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Companies House,,Companies House Search/Data Request Service: document packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37110,37110,,,,,30012,30012,,,http://direct.companieshouse.gov.uk/,Paid for searches/data requests for document packages made via the Companies House Direct Service,,,Business and individuals,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovation Funding Service: Applications for innovation funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,,"Requesting benefits, payments or loans",,Data on applications for Innovation funding,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovation Funding Service: Applications to create accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8053,,"Requesting benefits, payments or loans",,Data on creating accounts for Innovation funding applications,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Advisory, Conciliation and Arbitration Service",Acas,Registrations to use online training and resources on workplace relations,,,,,,,4027,,,5331,5331,,8624,8624,,15682,15682,,27124,27124,,28115,28115,,26194,26194,,22398,22398,,14655,14655,,18509,18509,,21415,21415,,22187,22187,,23404,23404,,23733,23733,,26506,26506,,29423,29423,,32633,32633,,34262,34262,,35301,35301,,Registering,https://elearning.acas.org.uk/,Data for registrations to use Acas's elearning modules on employment relations.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Requests to add extra classes to an existing trade mark application,152,,,152,,,1461,,,1406,,,1289,0,,1239,0,,1206,0,,1206,0,,980,0,,737,0,,499,0,,527,0,,512,0,,494,0,,464,0,,515,0,,510,0,,533,0,,603,0,,309,0,,324,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for requests to add extra classes to an existing application (TM3A).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications for licences under the patent to be available as of right,1061,,,1061,,,2097,,,2259,,,2342,0,,1962,0,,1728,0,,1231,0,,969,0,,1027,0,,991,0,,1031,0,,904,0,,746,0,,869,0,,754,0,,881,0,,1093,0,,998,0,,1222,0,,1294,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications by the proprietor of a patent for an entry to be made in the register that licences under the patent are available as of right (F28).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: applications by the proprietor to cancel an entry in the register that licences are available as of right,36,,,36,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,,3,0,,Amending/deleting information,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications by the proprietor of a patent to cancel an entry in the register that licences under the patent are available as of right (F30).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Application fee for a patent: payments after applications have been made,1690,,,1690,,,1688,,,1729,,,1647,0,,1522,0,,1480,0,,1387,0,,1353,0,,1344,0,,1328,0,,1287,0,,1232,0,,1177,0,,1111,0,,1101,0,,1106,0,,1111,0,,1111,0,,1111,0,,1107,0,,Making a payment,https://www.gov.uk/file-documents-pending-patent,Data for application fee for a patent application (AF1) if not already been paid with Form 1 or Form 9A.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications for approved verification of weighing or measuring equipment,,,,1,,,1,,,4,,,7,,,9,,,11,,,9,,,7,7,,6,6,,2,2,,2,2,,2,2,,3,3,,3,3,,3,3,,2,2,,1,1,,1,1,,3,3,,3,3,,Requesting a licence or consent,http://www.nmodoitonline.bis.gov.uk/applicationform/application-for-approved-verification.aspx,Data for applications for approved verification of weighing or measuring equipment.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications for calibration,240,200,,392,,,411,,,164,,,172,,,165,,,170,,,151,,,142,142,,145,145,,129,129,,147,147,,134,134,,124,124,,139,139,,120,120,,125,125,,121,121,,124,124,,145,145,,160,160,,Requesting a licence or consent,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_The_Calibration_of_Mass_Length_or_Volume.aspx,"Data for applications for calibration of mass, length or volume.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,"Patents: applications for declaration of lapse or invalidity, or to revoke an extension of a Supplementary Protection Certificate",0,,,0,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,,2,0,,3,0,,4,0,,5,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees,"Data for applications for declaration of lapse or invalidity, or to revoke an extension of the duration of a Supplementary Protection Certificate (SP3).",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications for European patent,,,,,,,,,,168,168,,221,221,,294,294,,347,347,,352,352,,324,324,,283,283,,298,298,,292,292,,271,271,,284,284,,225,225,,213,213,,225,225,,182,182,,176,176,,182,182,,188,188,,Requesting a licence or consent,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications for European patent (EP1001E).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: applications for extension to a Supplementary Protection Certificate,4,,,4,,,7,,,6,,,5,0,,3,0,,4,0,,5,0,,7,0,,11,0,,17,0,,17,0,,16,0,,14,0,,9,0,,10,0,,10,0,,8,0,,7,0,,7,0,,9,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications for Extension to a Supplementary Protection Certificate (SP4).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovate UK funding: applications for grants,,,,4942,,,4971,,,4961,4961,,5079,5079,,5556,5556,,5751,5751,,5206,5206,,5293,5293,,4626,4626,,5077,5077,,5499,5499,,5969,5969,,7266,7266,,6499,6499,,5877,5877,,6489,6489,,6193,6193,,6408,6408,,7099,7099,,5295,5295,,"Requesting benefits, payments or loans",https://grants.innovateuk.org/welcome,Data for applications for funding.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications for international patent,4400,2420,,4400,,,5574,,,4136,,,3995,2547,,3997,3436,,4143,3599,,4204,3690,,4358,3851,,4365,3862,,4339,3859,,4259,3794,,4210,3767,,4476,4181,,4269,4089,,4345,4250,,4373,4373,,4098,4098,,4214,4214,,4169,4169,,4096,4096,,Requesting a licence or consent,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications for an international patent (PCTRO101).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications for pre-assessment,22,22,,6,,,5,,,6,,,11,,,12,,,11,,,11,,,6,6,,7,7,,10,10,,10,10,,8,8,,5,5,,1,1,,2,2,,2,2,,2,2,,2,2,,0,0,,0,0,,Requesting a licence or consent,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_For_Pre-Assessment.aspx,Data for applications for pre-assesments.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications for product certification,200,200,,197,,,194,,,213,,,224,,,232,,,235,,,229,,,223,223,,238,238,,226,226,,232,232,,232,232,,209,209,,208,208,,219,219,,215,215,,237,237,,276,276,,248,248,,254,254,,Requesting a licence or consent,http://www.nmodoitonline.bis.gov.uk/applicationform/Application_for_Product_Certification.aspx,Data for applications for product certification.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: applications for the grant of a Supplementary Protection Certificate,62,,,62,,,69,,,68,,,80,0,,79,0,,87,0,,84,0,,86,0,,90,0,,81,0,,83,0,,61,0,,53,0,,52,0,,48,0,,61,0,,57,0,,49,0,,49,0,,48,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications for the grant of a Supplementary Protection Certificate (SP1).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to amend the regulations for a certification or collective mark,5,,,5,,,5,,,5,,,9,0,,9,0,,10,0,,13,0,,9,0,,10,0,,9,0,,8,0,,32,0,,30,0,,32,0,,32,0,,6,0,,7,0,,5,0,,7,0,,10,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to amend the regulations governing the use of a certification or collective mark (TM36).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to declare invalid a registration or a protected international trade mark,141,,,141,,,163,,,137,,,134,0,,147,0,,139,0,,159,0,,202,0,,215,51,,222,51,,220,51,,185,51,,182,0,,181,0,,172,0,,171,0,,158,0,,168,0,,181,0,,192,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to declare invalid a registration or a protected international trade mark (TM26l).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: applications to intervene in proceedings,0,,,0,,,,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,,3,0,,4,0,,4,0,,2,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to intervene in proceedings (TM27).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: applications to record or cancel a registrable transaction under the Madrid Protocol,400,,,400,,,367,,,381,,,392,0,,300,0,,329,0,,293,0,,272,0,,315,0,,280,0,,293,0,,310,0,,298,0,,297,0,,282,0,,261,0,,272,0,,269,0,,264,0,,293,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,"Data for applications to record or cancel a registrable transaction other than assignment or licence, or to cancel a notifiable transaction under the Madrid Protocol (TM24).",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: applications to rectify the register,10,,,10,,,25,,,84,,,175,0,,253,0,,351,0,,341,0,,315,0,,336,0,,368,0,,393,0,,423,0,,418,0,,404,0,,442,0,,459,0,,459,0,,472,0,,453,0,,448,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to rectify the register (TM26R).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to record licences against trade marks,183,,,183,,,220,,,237,,,246,0,,339,0,,297,0,,271,0,,248,0,,144,0,,131,0,,128,0,,131,0,,132,0,,139,0,,143,0,,161,0,,156,0,,150,0,,144,0,,115,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to record licences against trade marks.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Designs: applications to register one or more designs,4662,,,4662,,,2439,,,2614,,,2539,0,,2530,0,,2446,0,,2397,0,,2447,0,,2478,0,,2501,0,,2545,0,,2537,0,,3736,925,,4980,2203,,5915,3796,,7306,5249,,9682,8303,,12758,11594,,15720,14473,,18471,17650,,Registering,https://www.gov.uk/apply-register-design,"Data for applications to register designs, submitted on form DF2A.",,Digital service introduced September 2015.,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to register or give notice of rights acquired in a patent or in an application form,3593,,,3593,,,3336,,,3413,,,3453,0,,3379,0,,6005,0,,6051,0,,6135,0,,6150,0,,3517,0,,3437,0,,3242,0,,3398,0,,5845,0,,5776,0,,5846,0,,5765,0,,3372,0,,3574,0,,3718,0,,Registering,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications to register or give notice of rights acquired in a patent or in an application. form (F21),,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to remove or amend a licence against a trade mark,105,,,105,,,34,,,34,,,44,0,,31,0,,26,0,,23,0,,9,0,,10,0,,11,0,,12,0,,12,0,,14,0,,14,0,,15,0,,18,0,,17,0,,33,0,,30,0,,27,0,,Requesting a licence or consent,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to remove or amend a licence against a trade mark (TM51).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to record changes to the ownership of UK trade marks,4121,,,4121,,,3696,,,3740,,,3802,0,,3778,0,,3806,0,,3829,0,,3911,0,,4021,0,,4020,0,,4110,0,,4186,0,,4229,0,,4352,0,,4463,0,,4442,0,,4449,0,,4573,0,,4605,0,,4620,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,"Data for applications to record changes, submitted on form TM16.",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to restore a patent,228,,,228,,,185,,,175,,,186,0,,189,0,,319,0,,347,0,,339,0,,333,0,,196,0,,193,0,,204,0,,200,0,,208,0,,201,0,,188,0,,186,0,,172,0,,171,0,,173,0,,Amending/deleting information,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for applications to restore a patent (F16).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to revoke a registration or a protected international trade mark for reasons of non-use,136,,,136,,,125,,,125,,,121,0,,135,0,,107,0,,134,0,,159,0,,156,0,,190,0,,176,0,,153,0,,166,0,,164,0,,158,0,,179,0,,247,0,,254,0,,262,0,,242,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to revoke a registration or a protected international trade mark for reasons of non-use (TM26N).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications to revoke a registration or a protected international trade mark for reasons other than non-use,11,,,11,,,4,,,3,,,3,0,,2,0,,2,0,,2,0,,23,0,,23,0,,26,0,,25,0,,4,0,,4,0,,0,0,,0,0,,3,0,,3,0,,4,0,,6,0,,3,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to revoke a registration or a protected international trade mark for reasons other than non-use (TM26O).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: applications to set aside cancellation of application or revocation or invalidation of registration,0,,,0,,,,,,0,,,0,0,,0,0,,2,0,,3,0,,4,0,,4,0,,2,0,,2,0,,2,0,,2,0,,3,0,,2,0,,1,0,,1,0,,0,0,,0,0,,0,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for applications to set aside cancellation of application or revocation or invalidation of trade mark registration (TM29).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Applications for bankruptcy,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2606,2606,,5628,5628,130.00,8369,8369,130.00,11561,11561,130.00,11846,11846,130.00,11778,11778,,Requesting a licence or consent,https://www.gov.uk/apply-for-bankruptcy,Data for applications by individuals applying for bankrupcy,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Orphan works: applications for an orphan works licence,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,29,29,,40,40,,50,50,,44,44,,33,33,,26,26,,45,45,,57,57,,53,53,,58,58,,41,41,,Requesting a licence or consent,https://www.orphanworkslicensing.service.gov.uk/apply/work/title,"Data for applications for orphan works licences, allowing use of creative works or performances for which the rights holder is either unknown or cannot be found.",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,UK Space Agency,,UK Space Agency: Space for All award applications,25,,,36,,,36,,,36,36,,36,36,,39,39,,39,39,,39,39,,39,39,,42,0,,42,0,,42,0,,42,0,,11,0,,11,0,,11,0,,11,0,,11,0,,11,0,,11,0,,11,0,,"Requesting benefits, payments or loans",https://www.gov.uk/guidance/apply-for-funding-academic-community-and-educational,Data for applications submitted for Space for All community sponsorship awards.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications to register a Primary Authority Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284,5284,,5756,5756,,6347,6347,,6451,6451,,6434,6434,,9041,9041,,8489,8489,,7477,7477,,3984,3984,,1928,1928,,Requesting a licence or consent,https://primary-authority.beis.gov.uk/,Data for applications by businesses to register a Primary Authority Partnership with one or more local authority for regulatory compliance purposes.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Appointments or changes of representative (for opponents and cancellation applicants),60,,,60,,,0,,,0,,,22,0,,33,0,,58,0,,97,0,,98,0,,112,0,,112,0,,88,0,,94,0,,96,0,,98,0,,101,0,,99,0,,93,0,,91,0,,95,0,,102,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for appointments or changes of representative (TM33P) (for opponents and cancellation applicants).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Appointment or change of representative for trade mark owners or holders,4810,,,4810,,,,,,4197,,,4202,0,,4437,0,,4717,0,,4791,0,,5795,0,,6149,0,,6368,0,,6983,0,,7223,0,,7280,0,,7386,0,,7362,0,,6627,0,,6543,0,,6960,0,,7467,0,,7507,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for appointment or change of representative (TM33) for trade mark owners or holders.,,,Business,Fees and charges
